Differences	 Red 	(percent) 	Green 	(percent) 	Blue 	(percent) 	Total 	(percent) 
0 	  59290 	0.226173 	127533 	0.486500 	236883 	0.903637 	 56173 	0.214283 
1 	 202854 	0.773827 	134611 	0.513500 	 25261 	0.096363 	 73400 	0.279999 
2 	      0 	0.000000 	     0 	0.000000 	     0 	0.000000 	108387 	0.413464 
3 	      0 	0.000000 	     0 	0.000000 	     0 	0.000000 	 24184 	0.092255 
